nationbuilder_id,first_name,last_name,mobile_number,email,primary_address1,primary_address2,primary_city,primary_zip,gender,age_bracket,geo_bucket,edu_level,gender,age_bracket,edu_level,geo_bucket
p21,first_name 21,last_name 21,mobile_number 21,email 21,primary_address1 21,primary_address2 21,primary_city 21,primary_zip 21,gender 21,age_bracket 21,geo_bucket 21,edu_level 21,Male,45-59,Level 4 and above,Mid Scotland and Fife
p22,first_name 22,last_name 22,mobile_number 22,email 22,primary_address1 22,primary_address2 22,primary_city 22,primary_zip 22,gender 22,age_bracket 22,geo_bucket 22,edu_level 22,Male,30-44,No qualifications,Glasgow
p23,first_name 23,last_name 23,mobile_number 23,email 23,primary_address1 23,primary_address2 23,primary_city 23,primary_zip 23,gender 23,age_bracket 23,geo_bucket 23,edu_level 23,Female,30-44,Level 1,South Scotland
p24,first_name 24,last_name 24,mobile_number 24,email 24,primary_address1 24,primary_address2 24,primary_city 24,primary_zip 24,gender 24,age_bracket 24,geo_bucket 24,edu_level 24,Female,30-44,Level 1,North East Scotland
p25,first_name 25,last_name 25,mobile_number 25,email 25,primary_address1 25,primary_address2 25,primary_city 25,primary_zip 25,gender 25,age_bracket 25,geo_bucket 25,edu_level 25,Female,30-44,Level 1,Mid Scotland and Fife
p26,first_name 26,last_name 26,mobile_number 26,email 26,primary_address1 26,primary_address2 26,primary_city 26,primary_zip 26,gender 26,age_bracket 26,geo_bucket 26,edu_level 26,Male,60+,No qualifications,Central Scotland
p27,first_name 27,last_name 27,mobile_number 27,email 27,primary_address1 27,primary_address2 27,primary_city 27,primary_zip 27,gender 27,age_bracket 27,geo_bucket 27,edu_level 27,Male,60+,Level 1,Highlands and Islands
p28,first_name 28,last_name 28,mobile_number 28,email 28,primary_address1 28,primary_address2 28,primary_city 28,primary_zip 28,gender 28,age_bracket 28,geo_bucket 28,edu_level 28,Female,45-59,No qualifications,West Scotland
p29,first_name 29,last_name 29,mobile_number 29,email 29,primary_address1 29,primary_address2 29,primary_city 29,primary_zip 29,gender 29,age_bracket 29,geo_bucket 29,edu_level 29,Female,16-29,Level 4 and above,Highlands and Islands
p30,first_name 30,last_name 30,mobile_number 30,email 30,primary_address1 30,primary_address2 30,primary_city 30,primary_zip 30,gender 30,age_bracket 30,geo_bucket 30,edu_level 30,Male,30-44,Level 1,Glasgow
p31,first_name 31,last_name 31,mobile_number 31,email 31,primary_address1 31,primary_address2 31,primary_city 31,primary_zip 31,gender 31,age_bracket 31,geo_bucket 31,edu_level 31,Male,45-59,No qualifications,Mid Scotland and Fife
p32,first_name 32,last_name 32,mobile_number 32,email 32,primary_address1 32,primary_address2 32,primary_city 32,primary_zip 32,gender 32,age_bracket 32,geo_bucket 32,edu_level 32,Male,30-44,Level 4 and above,Lothian
p33,first_name 33,last_name 33,mobile_number 33,email 33,primary_address1 33,primary_address2 33,primary_city 33,primary_zip 33,gender 33,age_bracket 33,geo_bucket 33,edu_level 33,Male,30-44,Level 1,Lothian
p34,first_name 34,last_name 34,mobile_number 34,email 34,primary_address1 34,primary_address2 34,primary_city 34,primary_zip 34,gender 34,age_bracket 34,geo_bucket 34,edu_level 34,Male,16-29,Level 4 and above,Highlands and Islands
p35,first_name 35,last_name 35,mobile_number 35,email 35,primary_address1 35,primary_address2 35,primary_city 35,primary_zip 35,gender 35,age_bracket 35,geo_bucket 35,edu_level 35,Male,30-44,No qualifications,North East Scotland
p36,first_name 36,last_name 36,mobile_number 36,email 36,primary_address1 36,primary_address2 36,primary_city 36,primary_zip 36,gender 36,age_bracket 36,geo_bucket 36,edu_level 36,Female,60+,No qualifications,Lothian
p37,first_name 37,last_name 37,mobile_number 37,email 37,primary_address1 37,primary_address2 37,primary_city 37,primary_zip 37,gender 37,age_bracket 37,geo_bucket 37,edu_level 37,Female,16-29,Level 4 and above,Mid Scotland and Fife
p38,first_name 38,last_name 38,mobile_number 38,email 38,primary_address1 38,primary_address2 38,primary_city 38,primary_zip 38,gender 38,age_bracket 38,geo_bucket 38,edu_level 38,Male,45-59,Level 4 and above,West Scotland
p39,first_name 39,last_name 39,mobile_number 39,email 39,primary_address1 39,primary_address2 39,primary_city 39,primary_zip 39,gender 39,age_bracket 39,geo_bucket 39,edu_level 39,Male,45-59,Level 1,North East Scotland
p40,first_name 40,last_name 40,mobile_number 40,email 40,primary_address1 40,primary_address2 40,primary_city 40,primary_zip 40,gender 40,age_bracket 40,geo_bucket 40,edu_level 40,Female,60+,Level 1,South Scotland
p41,first_name 41,last_name 41,mobile_number 41,email 41,primary_address1 41,primary_address2 41,primary_city 41,primary_zip 41,gender 41,age_bracket 41,geo_bucket 41,edu_level 41,Male,45-59,Level 1,Lothian
p42,first_name 42,last_name 42,mobile_number 42,email 42,primary_address1 42,primary_address2 42,primary_city 42,primary_zip 42,gender 42,age_bracket 42,geo_bucket 42,edu_level 42,Female,60+,No qualifications,Glasgow
p43,first_name 43,last_name 43,mobile_number 43,email 43,primary_address1 43,primary_address2 43,primary_city 43,primary_zip 43,gender 43,age_bracket 43,geo_bucket 43,edu_level 43,Male,45-59,Level 1,Glasgow
p44,first_name 44,last_name 44,mobile_number 44,email 44,primary_address1 44,primary_address2 44,primary_city 44,primary_zip 44,gender 44,age_bracket 44,geo_bucket 44,edu_level 44,Male,45-59,No qualifications,Mid Scotland and Fife
p45,first_name 45,last_name 45,mobile_number 45,email 45,primary_address1 45,primary_address2 45,primary_city 45,primary_zip 45,gender 45,age_bracket 45,geo_bucket 45,edu_level 45,Female,60+,Level 4 and above,South Scotland
p46,first_name 46,last_name 46,mobile_number 46,email 46,primary_address1 46,primary_address2 46,primary_city 46,primary_zip 46,gender 46,age_bracket 46,geo_bucket 46,edu_level 46,Male,16-29,Level 4 and above,South Scotland
p47,first_name 47,last_name 47,mobile_number 47,email 47,primary_address1 47,primary_address2 47,primary_city 47,primary_zip 47,gender 47,age_bracket 47,geo_bucket 47,edu_level 47,Female,30-44,Level 4 and above,South Scotland
p48,first_name 48,last_name 48,mobile_number 48,email 48,primary_address1 48,primary_address2 48,primary_city 48,primary_zip 48,gender 48,age_bracket 48,geo_bucket 48,edu_level 48,Male,60+,Level 4 and above,Central Scotland
p49,first_name 49,last_name 49,mobile_number 49,email 49,primary_address1 49,primary_address2 49,primary_city 49,primary_zip 49,gender 49,age_bracket 49,geo_bucket 49,edu_level 49,Female,30-44,No qualifications,North East Scotland
p50,first_name 50,last_name 50,mobile_number 50,email 50,primary_address1 50,primary_address2 50,primary_city 50,primary_zip 50,gender 50,age_bracket 50,geo_bucket 50,edu_level 50,Male,16-29,Level 1,Lothian
p51,first_name 51,last_name 51,mobile_number 51,email 51,primary_address1 51,primary_address2 51,primary_city 51,primary_zip 51,gender 51,age_bracket 51,geo_bucket 51,edu_level 51,Male,45-59,No qualifications,Mid Scotland and Fife
p52,first_name 52,last_name 52,mobile_number 52,email 52,primary_address1 52,primary_address2 52,primary_city 52,primary_zip 52,gender 52,age_bracket 52,geo_bucket 52,edu_level 52,Female,16-29,Level 2 or 3,South Scotland
p53,first_name 53,last_name 53,mobile_number 53,email 53,primary_address1 53,primary_address2 53,primary_city 53,primary_zip 53,gender 53,age_bracket 53,geo_bucket 53,edu_level 53,Non-binary or other,60+,Level 2 or 3,Lothian
p54,first_name 54,last_name 54,mobile_number 54,email 54,primary_address1 54,primary_address2 54,primary_city 54,primary_zip 54,gender 54,age_bracket 54,geo_bucket 54,edu_level 54,Female,60+,No qualifications,Glasgow
p55,first_name 55,last_name 55,mobile_number 55,email 55,primary_address1 55,primary_address2 55,primary_city 55,primary_zip 55,gender 55,age_bracket 55,geo_bucket 55,edu_level 55,Male,16-29,Level 1,Central Scotland
p56,first_name 56,last_name 56,mobile_number 56,email 56,primary_address1 56,primary_address2 56,primary_city 56,primary_zip 56,gender 56,age_bracket 56,geo_bucket 56,edu_level 56,Male,45-59,No qualifications,South Scotland
p57,first_name 57,last_name 57,mobile_number 57,email 57,primary_address1 57,primary_address2 57,primary_city 57,primary_zip 57,gender 57,age_bracket 57,geo_bucket 57,edu_level 57,Male,60+,No qualifications,Mid Scotland and Fife
p58,first_name 58,last_name 58,mobile_number 58,email 58,primary_address1 58,primary_address2 58,primary_city 58,primary_zip 58,gender 58,age_bracket 58,geo_bucket 58,edu_level 58,Male,30-44,Level 4 and above,Mid Scotland and Fife
p59,first_name 59,last_name 59,mobile_number 59,email 59,primary_address1 59,primary_address2 59,primary_city 59,primary_zip 59,gender 59,age_bracket 59,geo_bucket 59,edu_level 59,Male,60+,No qualifications,Glasgow
p60,first_name 60,last_name 60,mobile_number 60,email 60,primary_address1 60,primary_address2 60,primary_city 60,primary_zip 60,gender 60,age_bracket 60,geo_bucket 60,edu_level 60,Female,16-29,Level 2 or 3,Central Scotland
p61,first_name 61,last_name 61,mobile_number 61,email 61,primary_address1 61,primary_address2 61,primary_city 61,primary_zip 61,gender 61,age_bracket 61,geo_bucket 61,edu_level 61,Male,60+,Level 1,North East Scotland
p62,first_name 62,last_name 62,mobile_number 62,email 62,primary_address1 62,primary_address2 62,primary_city 62,primary_zip 62,gender 62,age_bracket 62,geo_bucket 62,edu_level 62,Male,60+,Level 2 or 3,Mid Scotland and Fife
p63,first_name 63,last_name 63,mobile_number 63,email 63,primary_address1 63,primary_address2 63,primary_city 63,primary_zip 63,gender 63,age_bracket 63,geo_bucket 63,edu_level 63,Female,30-44,No qualifications,South Scotland
p64,first_name 64,last_name 64,mobile_number 64,email 64,primary_address1 64,primary_address2 64,primary_city 64,primary_zip 64,gender 64,age_bracket 64,geo_bucket 64,edu_level 64,Male,60+,No qualifications,Mid Scotland and Fife
p65,first_name 65,last_name 65,mobile_number 65,email 65,primary_address1 65,primary_address2 65,primary_city 65,primary_zip 65,gender 65,age_bracket 65,geo_bucket 65,edu_level 65,Non-binary or other,16-29,Level 2 or 3,Glasgow
p66,first_name 66,last_name 66,mobile_number 66,email 66,primary_address1 66,primary_address2 66,primary_city 66,primary_zip 66,gender 66,age_bracket 66,geo_bucket 66,edu_level 66,Female,16-29,Level 1,North East Scotland
p67,first_name 67,last_name 67,mobile_number 67,email 67,primary_address1 67,primary_address2 67,primary_city 67,primary_zip 67,gender 67,age_bracket 67,geo_bucket 67,edu_level 67,Female,60+,Level 1,Highlands and Islands
p68,first_name 68,last_name 68,mobile_number 68,email 68,primary_address1 68,primary_address2 68,primary_city 68,primary_zip 68,gender 68,age_bracket 68,geo_bucket 68,edu_level 68,Female,60+,No qualifications,West Scotland
p69,first_name 69,last_name 69,mobile_number 69,email 69,primary_address1 69,primary_address2 69,primary_city 69,primary_zip 69,gender 69,age_bracket 69,geo_bucket 69,edu_level 69,Male,60+,Level 1,Central Scotland
p70,first_name 70,last_name 70,mobile_number 70,email 70,primary_address1 70,primary_address2 70,primary_city 70,primary_zip 70,gender 70,age_bracket 70,geo_bucket 70,edu_level 70,Female,30-44,Level 2 or 3,North East Scotland
p71,first_name 71,last_name 71,mobile_number 71,email 71,primary_address1 71,primary_address2 71,primary_city 71,primary_zip 71,gender 71,age_bracket 71,geo_bucket 71,edu_level 71,Male,45-59,No qualifications,Mid Scotland and Fife
p72,first_name 72,last_name 72,mobile_number 72,email 72,primary_address1 72,primary_address2 72,primary_city 72,primary_zip 72,gender 72,age_bracket 72,geo_bucket 72,edu_level 72,Female,60+,No qualifications,Central Scotland
p73,first_name 73,last_name 73,mobile_number 73,email 73,primary_address1 73,primary_address2 73,primary_city 73,primary_zip 73,gender 73,age_bracket 73,geo_bucket 73,edu_level 73,Male,16-29,No qualifications,North East Scotland
p74,first_name 74,last_name 74,mobile_number 74,email 74,primary_address1 74,primary_address2 74,primary_city 74,primary_zip 74,gender 74,age_bracket 74,geo_bucket 74,edu_level 74,Female,30-44,Level 2 or 3,Central Scotland
p75,first_name 75,last_name 75,mobile_number 75,email 75,primary_address1 75,primary_address2 75,primary_city 75,primary_zip 75,gender 75,age_bracket 75,geo_bucket 75,edu_level 75,Female,45-59,No qualifications,Glasgow
p76,first_name 76,last_name 76,mobile_number 76,email 76,primary_address1 76,primary_address2 76,primary_city 76,primary_zip 76,gender 76,age_bracket 76,geo_bucket 76,edu_level 76,Male,16-29,Level 1,Central Scotland
p77,first_name 77,last_name 77,mobile_number 77,email 77,primary_address1 77,primary_address2 77,primary_city 77,primary_zip 77,gender 77,age_bracket 77,geo_bucket 77,edu_level 77,Female,16-29,Level 1,South Scotland
p78,first_name 78,last_name 78,mobile_number 78,email 78,primary_address1 78,primary_address2 78,primary_city 78,primary_zip 78,gender 78,age_bracket 78,geo_bucket 78,edu_level 78,Female,60+,Level 4 and above,West Scotland
p79,first_name 79,last_name 79,mobile_number 79,email 79,primary_address1 79,primary_address2 79,primary_city 79,primary_zip 79,gender 79,age_bracket 79,geo_bucket 79,edu_level 79,Non-binary or other,30-44,Level 4 and above,Lothian
p80,first_name 80,last_name 80,mobile_number 80,email 80,primary_address1 80,primary_address2 80,primary_city 80,primary_zip 80,gender 80,age_bracket 80,geo_bucket 80,edu_level 80,Female,16-29,Level 2 or 3,Mid Scotland and Fife
p81,first_name 81,last_name 81,mobile_number 81,email 81,primary_address1 81,primary_address2 81,primary_city 81,primary_zip 81,gender 81,age_bracket 81,geo_bucket 81,edu_level 81,Female,16-29,Level 1,North East Scotland
p82,first_name 82,last_name 82,mobile_number 82,email 82,primary_address1 82,primary_address2 82,primary_city 82,primary_zip 82,gender 82,age_bracket 82,geo_bucket 82,edu_level 82,Male,45-59,Level 2 or 3,South Scotland
p83,first_name 83,last_name 83,mobile_number 83,email 83,primary_address1 83,primary_address2 83,primary_city 83,primary_zip 83,gender 83,age_bracket 83,geo_bucket 83,edu_level 83,Male,60+,Level 1,Central Scotland
p84,first_name 84,last_name 84,mobile_number 84,email 84,primary_address1 84,primary_address2 84,primary_city 84,primary_zip 84,gender 84,age_bracket 84,geo_bucket 84,edu_level 84,Male,60+,Level 1,North East Scotland
p85,first_name 85,last_name 85,mobile_number 85,email 85,primary_address1 85,primary_address2 85,primary_city 85,primary_zip 85,gender 85,age_bracket 85,geo_bucket 85,edu_level 85,Male,16-29,No qualifications,Glasgow
p86,first_name 86,last_name 86,mobile_number 86,email 86,primary_address1 86,primary_address2 86,primary_city 86,primary_zip 86,gender 86,age_bracket 86,geo_bucket 86,edu_level 86,Female,60+,Level 4 and above,Glasgow
p87,first_name 87,last_name 87,mobile_number 87,email 87,primary_address1 87,primary_address2 87,primary_city 87,primary_zip 87,gender 87,age_bracket 87,geo_bucket 87,edu_level 87,Female,60+,No qualifications,Glasgow
p88,first_name 88,last_name 88,mobile_number 88,email 88,primary_address1 88,primary_address2 88,primary_city 88,primary_zip 88,gender 88,age_bracket 88,geo_bucket 88,edu_level 88,Male,60+,Level 4 and above,North East Scotland
p89,first_name 89,last_name 89,mobile_number 89,email 89,primary_address1 89,primary_address2 89,primary_city 89,primary_zip 89,gender 89,age_bracket 89,geo_bucket 89,edu_level 89,Female,30-44,No qualifications,Central Scotland
